timestamp,machine_id,sensor_type,reading
2025-08-18 00:00:00,M001,pressure,1.88
2025-08-18 00:00:00,M001,temperature,22.08
2025-08-18 00:00:00,M001,vibration,0.53
2025-08-18 00:00:00,M002,pressure,0.02
2025-08-18 00:00:00,M002,temperature,26.03
2025-08-18 00:00:00,M002,vibration,0.33
2025-08-18 00:00:00,M003,pressure,1.08
2025-08-18 00:00:00,M003,temperature,8.52
2025-08-18 00:00:00,M003,vibration,0.54
2025-08-18 00:00:00,M004,pressure,1.91
2025-08-18 00:00:00,M004,temperature,23.86
2025-08-18 00:00:00,M004,vibration,0.54
2025-08-18 00:00:00,M005,pressure,0.06
2025-08-18 00:00:00,M005,temperature,22.16
2025-08-18 00:00:00,M005,vibration,0.1
2025-08-18 00:00:00,M006,pressure,0.73
2025-08-18 00:00:00,M006,temperature,2.88
2025-08-18 00:00:00,M006,vibration,1.33
2025-08-18 00:00:00,M007,pressure,4.97
2025-08-18 00:00:00,M007,temperature,31.97
2025-08-18 00:00:00,M007,vibration,1.62
2025-08-18 00:00:00,M008,pressure,2.51
2025-08-18 00:00:00,M008,temperature,28.01
2025-08-18 00:00:00,M008,vibration,0.62
2025-08-18 00:00:00,M009,pressure,0.76
2025-08-18 00:00:00,M009,temperature,9.09
2025-08-18 00:00:00,M009,vibration,0.22
2025-08-18 00:00:00,M010,pressure,6.8
2025-08-18 00:00:00,M010,temperature,28.44
2025-08-18 00:00:00,M010,vibration,5.35
2025-08-18 00:05:00,M001,pressure,0.57
2025-08-18 00:05:00,M001,temperature,20.8
2025-08-18 00:05:00,M001,vibration,0.45
2025-08-18 00:05:00,M002,pressure,0.05
2025-08-18 00:05:00,M002,temperature,22.59
2025-08-18 00:05:00,M002,vibration,0.25
2025-08-18 00:05:00,M003,pressure,0.8
2025-08-18 00:05:00,M003,temperature,30.76
2025-08-18 00:05:00,M003,vibration,1.62
2025-08-18 00:05:00,M004,pressure,0.69
2025-08-18 00:05:00,M004,temperature,22.99
2025-08-18 00:05:00,M004,vibration,0.62
2025-08-18 00:05:00,M005,pressure,0.14
2025-08-18 00:05:00,M005,temperature,21.92
2025-08-18 00:05:00,M005,vibration,0.11
2025-08-18 00:05:00,M006,pressure,4.98
2025-08-18 00:05:00,M006,temperature,0.45
2025-08-18 00:05:00,M006,vibration,1.51
2025-08-18 00:05:00,M007,pressure,1.43
2025-08-18 00:05:00,M007,temperature,36.15
2025-08-18 00:05:00,M007,vibration,1.33
2025-08-18 00:05:00,M008,pressure,2.39
2025-08-18 00:05:00,M008,temperature,27.67
2025-08-18 00:05:00,M008,vibration,1.02
2025-08-18 00:05:00,M009,pressure,0.11
2025-08-18 00:05:00,M009,temperature,11.72
2025-08-18 00:05:00,M009,vibration,0.24
2025-08-18 00:05:00,M010,pressure,7.11
2025-08-18 00:05:00,M010,temperature,26.73
2025-08-18 00:05:00,M010,vibration,3.09
2025-08-18 00:10:00,M001,pressure,0.51
2025-08-18 00:10:00,M001,temperature,20.94
2025-08-18 00:10:00,M001,vibration,0.32
2025-08-18 00:10:00,M002,pressure,0.08
2025-08-18 00:10:00,M002,temperature,22.41
2025-08-18 00:10:00,M002,vibration,0.04
2025-08-18 00:10:00,M003,pressure,0.13
2025-08-18 00:10:00,M003,temperature,14.28
2025-08-18 00:10:00,M003,vibration,0.12
2025-08-18 00:10:00,M004,pressure,1.35
2025-08-18 00:10:00,M004,temperature,20.89
2025-08-18 00:10:00,M004,vibration,0.81
2025-08-18 00:10:00,M005,pressure,0.02
2025-08-18 00:10:00,M005,temperature,45.82
2025-08-18 00:10:00,M005,vibration,0.07
2025-08-18 00:10:00,M006,pressure,4.03
2025-08-18 00:10:00,M006,temperature,1.69
2025-08-18 00:10:00,M006,vibration,1.18
2025-08-18 00:10:00,M007,pressure,2.76
2025-08-18 00:10:00,M007,temperature,35.31
